,striker,runsin2021,runsin2022,runsin2023,runsin2024,ballsfacedin2021,ballsfacedin2022,ballsfacedin2023,ballsfacedin2024,wicketsin2021,wicketsin2022,wicketsin2023,wicketsin2024,ballsbowledin2021,ballsbowledin2022,ballsbowledin2023,ballsbowledin2024,givenin2021,givenin2022,givenin2023,givenin2024,totalrunsscored,totalballsfaced,totalwickets,totalballsbowled,totalrunsgiven,batting_strike_rate,oversbowled_clean,economyrate,total_runs_scored,Dismissal_Count,Total_batting_average
81,HE van der Dussen,0.0,22.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,88.0,0.0,,22.0,2.0,11.0
82,HH Pandya,99.0,487.0,346.0,216.0,89.0,387.0,254.0,154.0,0.0,8.0,3.0,11.0,0.0,189.0,156.0,226.0,0.0,236.0,260.0,401.0,1148.0,884.0,22.0,571.0,897.0,129.86,95.1,9.43,1148.0,43.0,26.697674418604652
83,HR Shokeen,0.0,43.0,23.0,0.0,0.0,48.0,19.0,0.0,0.0,2.0,3.0,0.0,0.0,94.0,119.0,0.0,0.0,137.0,202.0,0.0,66.0,67.0,5.0,213.0,339.0,98.51,35.3,9.6,66.0,3.0,22.0
84,HV Patel,55.0,43.0,6.0,13.0,45.0,42.0,6.0,19.0,25.0,19.0,14.0,24.0,310.0,338.0,302.0,317.0,431.0,457.0,504.0,520.0,117.0,112.0,82.0,1267.0,1912.0,104.46,211.1,9.06,117.0,14.0,8.357142857142858
85,Harbhajan Singh,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,100.0,0.0,,2.0,,
86,Harpreet Brar,64.0,22.0,52.0,75.0,61.0,25.0,42.0,59.0,5.0,4.0,9.0,7.0,141.0,100.0,166.0,230.0,150.0,155.0,223.0,321.0,213.0,187.0,25.0,637.0,849.0,113.9,106.1,8.0,213.0,11.0,19.363636363636363
87,Harpreet Singh,0.0,0.0,76.0,27.0,0.0,0.0,59.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,93.0,0.0,0.0,0.0,110.75,0.0,,103.0,5.0,20.6
88,Harshit Rana,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,5.0,19.0,0.0,31.0,108.0,264.0,0.0,54.0,165.0,398.0,2.0,3.0,25.0,403.0,617.0,66.67,67.1,9.2,2.0,2.0,1.0
89,I Sharma,0.0,0.0,1.0,1.0,0.0,0.0,1.0,8.0,1.0,0.0,10.0,10.0,72.0,0.0,157.0,182.0,99.0,0.0,223.0,291.0,2.0,9.0,21.0,411.0,613.0,22.22,68.3,8.98,2.0,,
90,Ishan Kishan,212.0,418.0,454.0,320.0,159.0,355.0,325.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,1061.0,0.0,0.0,0.0,132.33,0.0,,1404.0,51.0,27.529411764705884
91,J Fraser-McGurk,0.0,0.0,0.0,330.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,150.0,0.0,0.0,0.0,220.0,0.0,,330.0,9.0,36.666666666666664
92,J Suchith,14.0,2.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,42.0,115.0,0.0,0.0,66.0,150.0,0.0,0.0,16.0,14.0,7.0,157.0,216.0,114.29,26.1,8.28,16.0,2.0,8.0
93,J Yadav,34.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,106.0,0.0,24.0,0.0,136.0,0.0,26.0,0.0,34.0,26.0,2.0,130.0,162.0,130.77,21.4,7.57,34.0,2.0,17.0
